Indicator,Value,Year,Footnote,Source,Economy,Country Code,Region,Theme,Definition,Unit
"Balance on goods, net",717201160,1998,Follows the IMF Balance of Payment Manual 5 format starting 2002.,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,Difference between exports and imports of goods.,US Dollar
"Balance on goods, net",884600240,1999,Follows the IMF Balance of Payment Manual 5 format starting 2002.,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,Difference between exports and imports of goods.,US Dollar
"Balance on goods, net",1097366890,2000,Follows the IMF Balance of Payment Manual 5 format starting 2002.,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,Difference between exports and imports of goods.,US Dollar
"BOP: Goods, Exports (fob)",1801263360,1998,Follows the IMF Balance of Payment Manual 5 format starting 2002.,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,"Comprise all transactions between residents of a country and the rest of the world involving a change of ownership from residents to nonresidents of general merchandise, goods sent for processing and repairs, and nonmonetary gold.",US Dollars
"BOP: Goods, Exports (fob)",1971642380,1999,Follows the IMF Balance of Payment Manual 5 format starting 2002.,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,"Comprise all transactions between residents of a country and the rest of the world involving a change of ownership from residents to nonresidents of general merchandise, goods sent for processing and repairs, and nonmonetary gold.",US Dollars
"BOP: Goods, Exports (fob)",2102502890,2000,Follows the IMF Balance of Payment Manual 5 format starting 2002.,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,"Comprise all transactions between residents of a country and the rest of the world involving a change of ownership from residents to nonresidents of general merchandise, goods sent for processing and repairs, and nonmonetary gold.",US Dollars
"BOP: Goods, Imports (fob)",-1084062200,1998,Follows the IMF Balance of Payment Manual 5 format starting 2002.,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,"Comprise all transactions between residents of a country and the rest of the world involving a change of ownership from residents to nonresidents of general merchandise, goods sent for processing and repairs, and nonmonetary gold.",US Dollars
"BOP: Goods, Imports (fob)",-1087042140,1999,Follows the IMF Balance of Payment Manual 5 format starting 2002.,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,"Comprise all transactions between residents of a country and the rest of the world involving a change of ownership from residents to nonresidents of general merchandise, goods sent for processing and repairs, and nonmonetary gold.",US Dollars
"BOP: Goods, Imports (fob)",-1005136000,2000,Follows the IMF Balance of Payment Manual 5 format starting 2002.,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,"Comprise all transactions between residents of a country and the rest of the world involving a change of ownership from residents to nonresidents of general merchandise, goods sent for processing and repairs, and nonmonetary gold.",US Dollars
"Services and Income, Net",-747813410,1998,Follows the IMF Balance of Payment Manual 5 format starting 2002.,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,"Services covers traditional items (such as travel and transportation) and items (such as communications, financial and computer services, royalties and license fees, and many types of other business services). Income comprises compensation of employees and investment income (covering direct investment income and other dividends and interest).",US Dollar
"Services and Income, Net",-759747930,1999,Follows the IMF Balance of Payment Manual 5 format starting 2002.,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,"Services covers traditional items (such as travel and transportation) and items (such as communications, financial and computer services, royalties and license fees, and many types of other business services). Income comprises compensation of employees and investment income (covering direct investment income and other dividends and interest).",US Dollar
"Services and Income, Net",-741102430,2000,Follows the IMF Balance of Payment Manual 5 format starting 2002.,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,"Services covers traditional items (such as travel and transportation) and items (such as communications, financial and computer services, royalties and license fees, and many types of other business services). Income comprises compensation of employees and investment income (covering direct investment income and other dividends and interest).",US Dollar
Services and Income: Credit,339650150,1998,Follows the IMF Balance of Payment Manual 5 format starting 2002.,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,"Services covers traditional items (such as travel and transportation) and items (such as communications, financial and computer services, royalties and license fees, and many types of other business services). Income comprises compensation of employees and investment income (covering direct investment income and other dividends and interest).",US Dollars
Services and Income: Credit,272154390,1999,Follows the IMF Balance of Payment Manual 5 format starting 2002.,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,"Services covers traditional items (such as travel and transportation) and items (such as communications, financial and computer services, royalties and license fees, and many types of other business services). Income comprises compensation of employees and investment income (covering direct investment income and other dividends and interest).",US Dollars
Services and Income: Credit,274884260,2000,Follows the IMF Balance of Payment Manual 5 format starting 2002.,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,"Services covers traditional items (such as travel and transportation) and items (such as communications, financial and computer services, royalties and license fees, and many types of other business services). Income comprises compensation of employees and investment income (covering direct investment income and other dividends and interest).",US Dollars
Services and Income: Debit,-1087463560,1998,Follows the IMF Balance of Payment Manual 5 format starting 2002.,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,"Services covers traditional items (such as travel and transportation) and items (such as communications, financial and computer services, royalties and license fees, and many types of other business services). Income comprises compensation of employees and investment income (covering direct investment income and other dividends and interest).",US Dollars
Services and Income: Debit,-1031902320,1999,Follows the IMF Balance of Payment Manual 5 format starting 2002.,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,"Services covers traditional items (such as travel and transportation) and items (such as communications, financial and computer services, royalties and license fees, and many types of other business services). Income comprises compensation of employees and investment income (covering direct investment income and other dividends and interest).",US Dollars
Services and Income: Debit,-1015986690,2000,Follows the IMF Balance of Payment Manual 5 format starting 2002.,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,"Services covers traditional items (such as travel and transportation) and items (such as communications, financial and computer services, royalties and license fees, and many types of other business services). Income comprises compensation of employees and investment income (covering direct investment income and other dividends and interest).",US Dollars
Current account balance,34987750,1998,Follows the IMF Balance of Payment Manual 5 format starting 2002.,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,"Sum of net exports of goods, services, net income, and net current transfers.",US Dollar
Current account balance,144552310,1999,Follows the IMF Balance of Payment Manual 5 format starting 2002.,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,"Sum of net exports of goods, services, net income, and net current transfers.",US Dollar
Current account balance,351924460,2000,Follows the IMF Balance of Payment Manual 5 format starting 2002.,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,"Sum of net exports of goods, services, net income, and net current transfers.",US Dollar
"Direct Investment, Net",-183187560,1998,Follows the IMF Balance of Payment Manual 5 format starting 2002.,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,Covers all transactions between direct investors and direct investment enterprises.,US Dollar
"Direct Investment, Net",-70106340,1999,Follows the IMF Balance of Payment Manual 5 format starting 2002.,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,Covers all transactions between direct investors and direct investment enterprises.,US Dollar
"Direct Investment, Net",-235098380,2000,Follows the IMF Balance of Payment Manual 5 format starting 2002.,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,Covers all transactions between direct investors and direct investment enterprises.,US Dollar
"Portfolio Investment, Net",96600000,1998,Follows the IMF Balance of Payment Manual 5 format starting 2002.,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,Covers transactions in equity securities and debt securities.,US Dollar
"Portfolio Investment, Net",13600000,1999,Follows the IMF Balance of Payment Manual 5 format starting 2002.,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,Covers transactions in equity securities and debt securities.,US Dollar
"Portfolio Investment, Net",-124500000,2000,Follows the IMF Balance of Payment Manual 5 format starting 2002.,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,Covers transactions in equity securities and debt securities.,US Dollar
Capital Account Balance,121800000,1998,Follows the IMF Balance of Payment Manual 5 format starting 2002.,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,"Covers all transactions that involve the receipt or payment of capital transfers and acquisition or disposal of nonproduced, nonfinancial assets.",US Dollar
Capital Account Balance,365200010,1999,Follows the IMF Balance of Payment Manual 5 format starting 2002.,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,"Covers all transactions that involve the receipt or payment of capital transfers and acquisition or disposal of nonproduced, nonfinancial assets.",US Dollar
Capital Account Balance,-69900000,2000,Follows the IMF Balance of Payment Manual 5 format starting 2002.,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,"Covers all transactions that involve the receipt or payment of capital transfers and acquisition or disposal of nonproduced, nonfinancial assets.",US Dollar
Capital Account Balance,0,2001,Follows the IMF Balance of Payment Manual 5 format starting 2002.,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,"Covers all transactions that involve the receipt or payment of capital transfers and acquisition or disposal of nonproduced, nonfinancial assets.",US Dollar
